index,x,y,th
0,-400,200,0
1,-400,200,360
2,-398,200,0
3,-398,200,360
4,-396,200,0
5,-396,200,360
6,-394,200,0
7,-394,200,360
8,-392,200,0
9,-392,200,360
10,-390,200,0
11,-390,200,360
12,-388,200,0
13,-388,200,360
14,-386,200,0
15,-386,200,360
16,-384,200,0
17,-384,200,360
18,-382,200,0
19,-382,200,360
20,-380,200,0
21,-380,200,360
22,-378,200,0
23,-378,200,360
24,-376,200,0
25,-376,200,360
26,-374,200,0
27,-374,200,360
28,-372,200,0
29,-372,200,360
30,-370,200,0
31,-370,200,360
32,-368,200,0
33,-368,200,360
34,-366,200,0
35,-366,200,360
36,-364,200,0
37,-364,200,360
38,-362,200,0
39,-362,200,360
40,-360,200,0
41,-360,200,360
42,-358,200,0
43,-358,200,360
44,-356,200,0
45,-356,200,360
46,-354,200,0
47,-354,200,360
48,-352,200,0
49,-352,200,360
50,-350,200,0
51,-350,200,360
52,-348,200,0
53,-348,200,360
54,-346,200,0
55,-346,200,360
56,-344,200,0
57,-344,200,360
58,-342,200,0
59,-342,200,360
60,-340,200,0
61,-340,200,360
62,-338,200,0
63,-338,200,360
64,-336,200,0
65,-336,200,360
66,-334,200,0
67,-334,200,360
68,-332,200,0
69,-332,200,360
70,-330,200,0
71,-330,200,360
72,-328,200,0
73,-328,200,360
74,-326,200,0
75,-326,200,360
76,-324,200,0
77,-324,200,360
78,-322,200,0
79,-322,200,360
80,-320,200,0
81,-320,200,360
82,-318,200,0
83,-318,200,360
84,-316,200,0
85,-316,200,360
86,-314,200,0
87,-314,200,360
88,-312,200,0
89,-312,200,360
90,-310,200,0
91,-310,200,360
92,-308,200,0
93,-308,200,360
94,-306,200,0
95,-306,200,360
96,-304,200,0
97,-304,200,360
98,-302,200,0
99,-302,200,360
100,-300,200,0
101,-300,200,360
102,-298,200,0
103,-298,200,360
104,-296,200,0
105,-296,200,360
106,-294,200,0
107,-294,200,360
108,-292,200,0
109,-292,200,360
110,-290,200,0
111,-290,200,360
112,-288,200,0
113,-288,200,360
114,-286,200,0
115,-286,200,360
116,-284,200,0
117,-284,200,360
118,-282,200,0
119,-282,200,360
120,-280,200,0
121,-280,200,360
122,-278,200,0
123,-278,200,360
124,-276,200,0
125,-276,200,360
126,-274,200,0
127,-274,200,360
128,-272,200,0
129,-272,200,360
130,-270,200,0
131,-270,200,360
132,-268,200,0
133,-268,200,360
134,-266,200,0
135,-266,200,360
136,-264,200,0
137,-264,200,360
138,-262,200,0
139,-262,200,360
140,-260,200,0
141,-260,200,360
142,-258,200,0
143,-258,200,360
144,-256,200,0
145,-256,200,360
146,-254,200,0
147,-254,200,360
148,-252,200,0
149,-252,200,360
150,-250,200,0
151,-250,200,360
152,-248,200,0
153,-248,200,360
154,-246,200,0
155,-246,200,360
156,-244,200,0
157,-244,200,360
158,-242,200,0
159,-242,200,360
160,-240,200,0
161,-240,200,360
162,-238,200,0
163,-238,200,360
164,-236,200,0
165,-236,200,360
166,-234,200,0
167,-234,200,360
168,-232,200,0
169,-232,200,360
170,-230,200,0
171,-230,200,360
172,-228,200,0
173,-228,200,360
174,-226,200,0
175,-226,200,360
176,-224,200,0
177,-224,200,360
178,-222,200,0
179,-222,200,360
180,-220,200,0
181,-220,200,360
182,-218,200,0
183,-218,200,360
184,-216,200,0
185,-216,200,360
186,-214,200,0
187,-214,200,360
188,-212,200,0
189,-212,200,360
190,-210,200,0
191,-210,200,360
192,-208,200,0
193,-208,200,360
194,-206,200,0
195,-206,200,360
196,-204,200,0
197,-204,200,360
198,-202,200,0
199,-202,200,360
200,-200,200,0
201,-200,200,360
202,188,200,0
203,188,200,360
204,190,200,0
205,190,200,360
206,192,200,0
207,192,200,360
208,194,200,0
209,194,200,360
210,196,200,0
211,196,200,360
212,198,200,0
213,198,200,360
214,200,200,0
215,200,200,360
216,202,200,0
217,202,200,360
218,204,200,0
219,204,200,360
220,206,200,0
221,206,200,360
222,208,200,0
223,208,200,360
224,210,200,0
225,210,200,360
226,212,200,0
227,212,200,360
228,214,200,0
229,214,200,360
230,216,200,0
231,216,200,360
232,218,200,0
233,218,200,360
234,220,200,0
235,220,200,360
236,222,200,0
237,222,200,360
238,224,200,0
239,224,200,360
240,226,200,0
241,226,200,360
242,228,200,0
243,228,200,360
244,230,200,0
245,230,200,360
246,232,200,0
247,232,200,360
248,234,200,0
249,234,200,360
250,236,200,0
251,236,200,360
252,238,200,0
253,238,200,360
254,240,200,0
255,240,200,360
256,242,200,0
257,242,200,360
258,244,200,0
259,244,200,360
260,246,200,0
261,246,200,360
262,248,200,0
263,248,200,360
264,250,200,0
265,250,200,360
266,252,200,0
267,252,200,360
268,254,200,0
269,254,200,360
270,256,200,0
271,256,200,360
272,258,200,0
273,258,200,360
274,260,200,0
275,260,200,360
276,262,200,0
277,262,200,360
278,264,200,0
279,264,200,360
280,266,200,0
281,266,200,360
282,268,200,0
283,268,200,360
284,270,200,0
285,270,200,360
286,272,200,0
287,272,200,360
288,274,200,0
289,274,200,360
290,276,200,0
291,276,200,360
292,278,200,0
293,278,200,360
294,280,200,0
295,280,200,360
296,282,200,0
297,282,200,360
298,284,200,0
299,284,200,360
300,286,200,0
301,286,200,360
302,288,200,0
303,288,200,360
304,290,200,0
305,290,200,360
306,292,200,0
307,292,200,360
308,294,200,0
309,294,200,360
310,296,200,0
311,296,200,360
312,298,200,0
313,298,200,360
314,300,200,0
315,300,200,360
316,302,200,0
317,302,200,360
318,304,200,0
319,304,200,360
320,306,200,0
321,306,200,360
322,308,200,0
323,308,200,360
324,310,200,0
325,310,200,360
326,312,200,0
327,312,200,360
328,314,200,0
329,314,200,360
330,316,200,0
331,316,200,360
332,318,200,0
333,318,200,360
334,320,200,0
335,320,200,360
336,322,200,0
337,322,200,360
338,324,200,0
339,324,200,360
340,326,200,0
341,326,200,360
342,328,200,0
343,328,200,360
344,330,200,0
345,330,200,360
346,332,200,0
347,332,200,360
348,334,200,0
349,334,200,360
350,336,200,0
351,336,200,360
352,338,200,0
353,338,200,360
354,340,200,0
355,340,200,360
356,342,200,0
357,342,200,360
358,344,200,0
359,344,200,360
360,346,200,0
361,346,200,360
362,348,200,0
363,348,200,360
364,350,200,0
365,350,200,360
366,352,200,0
367,352,200,360
368,354,200,0
369,354,200,360
370,356,200,0
371,356,200,360
372,358,200,0
373,358,200,360
374,360,200,0
375,360,200,360
376,362,200,0
377,362,200,360
378,364,200,0
379,364,200,360
380,366,200,0
381,366,200,360
382,368,200,0
383,368,200,360
384,370,200,0
385,370,200,360
386,372,200,0
387,372,200,360
388,374,200,0
389,374,200,360
390,376,200,0
391,376,200,360
392,378,200,0
393,378,200,360
394,380,200,0
395,380,200,360
396,382,200,0
397,382,200,360
398,384,200,0
399,384,200,360
400,386,200,0
401,386,200,360
402,388,200,0
403,388,200,360
404,390,200,0
405,390,200,360
406,392,200,0
407,392,200,360
408,394,200,0
409,394,200,360
410,396,200,0
411,396,200,360
412,398,200,0
413,398,200,360
414,400,200,0
415,400,200,360
