kind,id,vertex,x,y
link,0,0,-60,0
link,0,1,0,0
link,0,2,0,39
link,0,3,-60,39
link,0,4,-60,0
link,1,0,-40.1063,13.9628
link,1,1,-19.8937,64.0372
link,1,2,-142.298,113.446
link,1,3,-162.51,63.3716
link,1,4,-40.1063,13.9628
link,2,0,-168.55,110.049
link,2,1,-136.258,66.7683
link,2,2,-32.0633,144.508
link,2,3,-64.355,187.789
link,2,4,-168.55,110.049
link,3,0,-75.1848,167.295
link,3,1,-21.2335,165.001
link,3,2,-17.4116,254.92
link,3,3,-71.3629,257.213
link,3,4,-75.1848,167.295
link,4,0,60.01,415
link,4,1,0.0100002,415
link,4,2,0.0100002,376
link,4,3,60.01,376
link,4,4,60.01,415
link,5,0,57.0099,376.067
link,5,1,3.01008,375.933
link,5,2,3.33856,243.933
link,5,3,57.3384,244.068
link,5,4,57.0099,376.067
link,6,0,50.6133,261.831
link,6,1,10.0637,226.17
link,6,2,95.9152,128.55
link,6,3,136.465,164.212
link,6,4,50.6133,261.831
link,7,0,134.362,126.412
link,7,1,98.0175,166.35
link,7,2,31.454,105.775
link,7,3,67.7988,65.8374
link,7,4,134.362,126.412
shape,0,0,-35,125
shape,0,1,65,125
shape,0,2,65,165
shape,0,3,5,165
shape,0,4,5,275
shape,0,5,-35,275
shape,0,6,-35,125
