kind,id,vertex,x,y
link,0,0,-60,0
link,0,1,0,0
link,0,2,0,39
link,0,3,-60,39
link,0,4,-60,0
link,1,0,-38.6852,13.4351
link,1,1,-21.3148,64.5649
link,1,2,-146.299,107.026
link,1,3,-163.669,55.8963
link,1,4,-38.6852,13.4351
link,2,0,-173.219,101.373
link,2,1,-136.749,61.5492
link,2,2,-40.8767,149.347
link,2,3,-77.3465,189.171
link,2,4,-173.219,101.373
link,3,0,-86.0229,167.072
link,3,1,-32.2003,171.446
link,3,2,-39.4901,261.15
link,3,3,-93.3127,256.776
link,3,4,-86.0229,167.072
link,4,0,60.01,415
link,4,1,0.0100002,415
link,4,2,0.0100002,376
link,4,3,60.01,376
link,4,4,60.01,415
link,5,0,56.963,377.592
link,5,1,3.05699,374.408
link,5,2,10.8413,242.637
link,5,3,64.7473,245.822
link,5,4,56.963,377.592
link,6,0,56.4376,263.76
link,6,1,19.1509,224.7
link,6,2,113.185,134.935
link,6,3,150.472,173.996
link,6,4,56.4376,263.76
link,7,0,151.898,136.405
link,7,1,111.758,172.527
link,7,2,51.5549,105.627
link,7,3,91.6947,69.505
link,7,4,151.898,136.405
shape,0,0,-32,125
shape,0,1,68,125
shape,0,2,68,165
shape,0,3,8,165
shape,0,4,8,275
shape,0,5,-32,275
shape,0,6,-32,125
