kind,id,vertex,x,y
link,0,0,-60,0
link,0,1,0,0
link,0,2,0,39
link,0,3,-60,39
link,0,4,-60,0
link,1,0,-39.9101,13.8845
link,1,1,-20.0899,64.1155
link,1,2,-142.877,112.565
link,1,3,-162.697,62.3338
link,1,4,-39.9101,13.8845
link,2,0,-171.284,107.118
link,2,1,-134.29,67.7808
link,2,2,-39.5894,156.842
link,2,3,-76.584,196.179
link,2,4,-171.284,107.118
link,3,0,-85.06,175.309
link,3,1,-31.1134,177.711
link,3,2,-35.1158,267.622
link,3,3,-89.0624,265.22
link,3,4,-85.06,175.309
link,4,0,60.01,415
link,4,1,0.0100002,415
link,4,2,0.0100002,376
link,4,3,60.01,376
link,4,4,60.01,415
link,5,0,56.9665,377.532
link,5,1,3.05348,374.468
link,5,2,10.5414,242.681
link,5,3,64.4545,245.744
link,5,4,56.9665,377.532
link,6,0,56.7357,263.157
link,6,1,18.2602,225.268
link,6,2,109.476,132.641
link,6,3,147.952,170.531
link,6,4,56.7357,263.157
link,7,0,148.039,132.73
link,7,1,109.389,170.442
link,7,2,46.5355,106.027
link,7,3,85.1849,68.3144
link,7,4,148.039,132.73
shape,0,0,5,125
shape,0,1,105,125
shape,0,2,105,165
shape,0,3,45,165
shape,0,4,45,275
shape,0,5,5,275
shape,0,6,5,125
